X,Y,Z0,Z1,Z2
5779.25,23834.0,339.4200000000001,839.4200000000001,1339.42
5755.0,10914.25,495.79,995.79,1495.79
34670.0,21015.0,322.1500000000001,822.1500000000001,1322.15
11938.5,10595.5,475.47,975.47,1475.47
6587.75,20880.5,344.22,844.22,1344.22
34713.0,26264.0,65.05999999999995,565.06,1065.06
19212.5,31121.5,259.1300000000001,759.1300000000001,1259.13
17350.75,18508.75,208.91000000000008,708.9100000000001,1208.91
26840.25,34957.25,95.8599999999999,595.8599999999999,1095.86
11712.0,33454.5,219.77,719.77,1219.77
3387.5,28802.5,380.23,880.23,1380.23
22010.75,8798.0,263.71000000000004,763.71,1263.71
10431.75,31403.0,254.07999999999996,754.0799999999999,1254.08
32378.75,6127.25,304.78,804.78,1304.78
27482.5,27165.75,282.4100000000001,782.4100000000001,1282.41
29213.0,7315.0,338.71000000000004,838.71,1338.71
20970.25,20184.25,255.0,755.0,1255.0
29835.25,15953.25,321.0,821.0,1321.0
22430.5,25774.25,199.4300000000001,699.4300000000001,1199.43
18780.75,18295.25,265.71000000000004,765.71,1265.71
34711.0,12504.0,279.69000000000005,779.69,1279.69
10770.0,35214.0,253.8800000000001,753.8800000000001,1253.88
8021.25,31806.75,265.8800000000001,765.8800000000001,1265.88
31435.0,19858.5,297.54,797.54,1297.54
5035.5,18987.0,428.0,928.0,1428.0
7403.0,26538.75,307.3499999999999,807.3499999999999,1307.35
13873.0,12061.0,466.24,966.24,1466.24
24378.5,22988.0,265.9100000000001,765.9100000000001,1265.91
22714.5,11169.25,273.71000000000004,773.71,1273.71
32330.0,22239.0,321.20000000000005,821.2,1321.2
29601.0,22720.0,226.4300000000001,726.4300000000001,1226.43
4740.5,28339.0,382.8499999999999,882.8499999999999,1382.85
27927.5,26033.5,246.1400000000001,746.1400000000001,1246.14
22707.25,27081.0,196.73,696.73,1196.73
35110.0,27118.0,61.41000000000008,561.4100000000001,1061.41
36633.75,24139.0,91.0,591.0,1091.0
26667.75,9384.5,354.78,854.78,1354.78
11270.25,21584.25,224.44000000000003,724.44,1224.44
3350.75,12216.0,482.48,982.48,1482.48
